BPM,PER,Pos,Pts,Team,WS
1.8,22.7,2,21.8,0,7.8
1.3,19.4,2,17.1,0,7.6
4.1,18.7,2,11.3,0,9.5
4.4,20.7,2,15.3,0,10.1
3.4,20.7,2,15.9,0,7.5
2,22.3,2,17.8,0,7.8
2.9,22.5,2,22,0,8.3
3.6,21.1,2,17.6,0,9.7
2.4,25.6,2,22.3,0,8.6
3.8,17.4,2,9.7,0,8.5
1.9,21.9,2,17.5,0,11.4
2.6,21.4,1,20.8,0,10.5
1.3,16,2,11.5,0,9.6
5.5,23.7,2,14.4,0,12.1
5.5,24.6,2,17.8,0,12.7
2.9,23.1,2,18.9,0,6.5
2.5,19.8,2,13.4,0,10.8
6.3,27.1,2,26.2,0,8
3.5,26.4,2,26.6,0,6.9
5.3,26,2,27.8,0,10.7
6.6,28.5,2,29.3,0,16.9
6.7,24.2,2,23.4,0,13.2
5,23,2,21.5,0,11.7
6.3,24.3,2,21.2,0,8.6
5.4,16.5,1,10.2,0,8.2
4.5,20.9,1,23.1,0,9.2
4.1,22.8,1,21.9,0,9
4.7,20.1,1,21.7,0,10.8
4.7,16.8,1,17.4,0,9
2.9,21.1,1,22.6,0,6.2
2.4,21.5,1,21.8,0,11.1
5.6,24.7,2,17.9,0,10.9
0.3,19,1,22.8,0,5
3.2,21.9,1,21.1,0,10.2
2,22.1,1,28.9,0,7.3
1.5,22,1,26.5,0,9.4
4.9,21.7,1,19.4,0,12.5
4.2,18.2,1,18.3,0,8
2,18,1,21.6,0,9
0.2,18.1,1,19,0,6.4
5.9,24.7,1,23.2,0,13.1
4.6,23.4,1,25.7,0,11.8
5.7,22.4,1,20.8,0,5.4
5.8,20.4,1,19.1,0,6.6
2.6,20.1,1,21,0,8.3
5.9,24.8,1,23.2,0,10.5
3.8,16.6,1,7.1,0,5.8
4.5,21.4,1,20.2,0,9.9
4.8,21.2,1,20.7,0,9.5
4.9,17,1,9.8,0,12.6
0.1,19.1,1,28.4,0,3.5
8,27.6,1,25.1,0,12
5.8,19.3,1,14,0,11.1
0.3,22.8,1,23.4,0,8.6
8.4,26.9,1,26.1,0,14.3
4.8,22.4,1,18,0,10.6
4.5,25.4,1,26,0,10
3.8,23.4,1,23,0,11.1
2.6,22.9,1,25,0,12.3
2.5,17.7,1,20.5,0,10.3
5.2,24.6,1,23.6,0,12.9
7.4,24.5,1,27.3,0,13.7
4.6,23.1,1,18.6,0,10.8
8.3,25.7,1,27.2,0,14.3
3.7,21.8,1,24.2,0,13.5
3.8,20.9,1,23,0,6.9
6.2,24.4,1,24.5,0,8.6
5.7,23.9,1,22,0,11.8
6.9,27.1,1,25.5,0,15.3
3,19.5,1,20,0,3.6
4.8,21.2,1,21.1,0,10.2
1.2,19.7,1,26.8,0,10.8
3.8,22.6,1,19.6,0,11.2
3.1,21.7,1,18.7,0,10.6
6.5,22.9,1,18.1,0,11.7
3.6,24.3,1,29.9,0,10.5
6.5,21.5,1,21,0,12.7
4.7,23.5,1,25.9,0,11.4
5.4,26.5,0,28.9,0,12.5
3.7,22.2,0,25.1,0,9.2
7.5,26,0,19.1,0,16.1
-0.5,18.9,0,16.7,0,5.9
5,23.9,0,23.2,0,11.6
3.2,22.9,0,23.6,0,7.9
5,23.6,0,21.9,0,9.4
3.3,20.6,0,18.7,0,10.3
5.8,24,0,22.6,0,13.5
2.1,20.8,0,18.8,0,11.3
6.2,23.2,0,24.6,0,8.6
7.5,27.6,0,27.2,0,14.4
4.4,23.1,0,24.1,0,11
5.8,25.3,0,28,0,8.4
6.9,22.2,0,18.7,0,11.3
4.6,22.9,0,22.1,0,12.6
5.6,24.9,0,26.8,0,12.2
2.6,20,0,28.4,0,6.9
5.4,23.1,0,21.7,0,7.2
2.6,19.6,0,17.8,0,8.1
3.3,21.6,0,25.9,0,10.8
3.7,21.9,0,14.7,0,13
1.8,17.2,0,22.8,0,8
1.2,17.7,0,23.4,0,6.4
3.3,21.3,0,15.1,0,10.6
5.1,22.8,0,15.8,0,13.4
5.2,23.7,0,22.2,0,12.7
0.9,24,0,27.3,0,9
6.8,22.2,0,21.2,0,11.6
3.3,21.5,0,21.7,0,10.4
2.7,18.6,0,20.7,0,9.6
3.9,24,0,21.2,0,9.6
6.3,26.3,0,22.1,0,7.7
6.4,23.7,0,15.9,0,13.9
4.1,21.3,0,21.5,0,9.1
3.1,23.4,0,22,0,8.6
2.4,18.4,0,21.6,0,5.8
8.4,28.9,0,27.4,0,8.8
3.5,25.9,0,33,0,10.6
4.6,23.3,0,27.6,0,8.1
2.2,19.9,0,21.7,0,9.7
3.3,22.6,0,17.7,0,11.6
4.9,22.3,0,26.1,0,12.9
4.3,22.1,0,23.1,0,10.8
1.8,20.7,0,22.2,0,7.4
3.9,21.9,0,11.1,0,6.4
2.3,20.4,0,23.2,0,7.9
3.9,22.1,0,14.4,0,13.6
2.9,19.2,0,23.1,0,9.3
4.3,20.1,0,19.6,0,11.4
4.6,22.7,0,17.3,0,10
2,17.3,0,22.3,0,8.4
3.8,22.7,0,17.3,0,9.1
4.4,23.4,0,17.2,0,14
4.1,23.2,0,23.1,0,8.8
0.7,18.6,0,22.1,0,8
2.7,20.8,0,21.7,0,8.8
3.9,21.4,0,20.3,0,10.3
5.5,23,0,25.9,0,12.8
1.3,17.5,0,11.9,0,4.9
5.3,21.7,0,17.4,0,9.9
2.2,19.3,0,21.3,0,8.4
2.5,18.8,0,17.7,0,10.1
8.1,24.3,0,19.5,0,11.1
4.4,21.3,0,17,0,11.4
5.5,23.8,0,29.3,0,13.6
4,21.3,0,25.5,0,11.5
5.6,20.7,0,22.9,0,7.5
2.4,20.1,0,22.3,0,9.6
2.3,20.7,0,17.9,0,9.9
5.6,22.9,0,22,0,13.7
5.3,19.9,0,20.1,0,10.1
2.3,18.9,0,19.9,0,5.2
4.3,19.8,0,19.5,0,12
4.7,21.4,0,20.5,0,8.1
3.9,20.1,0,21.1,0,10.3
6.5,22.4,0,21.8,0,11.7
2.8,17.8,0,16.5,0,9.3
2.8,19.7,0,21.5,0,7.5
2.2,19.9,0,19.7,0,10
1.8,18,0,20.4,0,9.9
7.3,24.6,0,25.3,0,12.6
7.8,26.2,0,19.5,0,12.7
11,29.1,0,28.1,0,10.6
7.4,24.1,0,24,0,13.4
2.7,23,0,20.3,0,9.3
1.7,22,0,18.3,0,7.1
5.9,25.6,0,25.5,0,12.8
1.8,21.6,0,16.5,0,9.9
11.2,30,0,22.8,0,18.3
1.6,21.1,0,16.9,0,10.5
5,24,0,28.4,0,10.8
4.7,23.4,0,18.5,0,15.5
3.7,20.9,0,23.9,0,10.7
4.3,22.8,0,19.8,0,12.1
2.8,21.2,0,27.6,0,9.2
3.8,21.9,0,31.4,0,6.9
4.2,24.5,0,28.5,0,11.3
5.3,21.7,0,22.5,0,10.6
3,18.8,0,17.4,0,5.4
4.6,20.6,0,18.9,0,11.7
5.6,21.8,0,21.8,0,12.9
4.7,19.6,0,19.3,0,11.5
4.5,21.3,0,20.6,0,11.7
0.9,20.6,0,20,0,8.7
1.4,17.6,0,23.5,0,9.1
2.6,19.1,0,23.4,0,9.2
7.3,22.1,0,21.5,0,12.4
7.6,26.1,1,22.9,0,12.4
7.9,28.2,1,28.2,0,14.5
2.8,22.7,1,18.5,0,10.4
4.6,23.9,1,24.1,0,12.2
2.4,24.8,1,28.7,0,9.5
4.1,23.4,1,20.7,0,9.2
5.3,23.3,2,18.8,0,14.7
1.4,22.2,1,28.2,0,7.9
4.6,24.4,2,19.3,0,10.1
4.7,24.4,2,19.3,0,11.1
2.6,22.6,2,22.6,0,9.6
6.3,26.5,1,24.7,0,14.8
9.7,28.2,1,22.2,0,16.1
1.8,21.1,1,20.1,0,9
5.7,25.6,1,25.1,0,16.1
6.7,23.8,1,21.2,0,12.8
7,25,1,27.6,0,12.9
4.8,24.5,1,25.8,0,10.7
6,23.9,1,21.1,0,7.3
2,20.4,2,19.2,0,10.4
