playername,TRB,AST,STL,BLK,PTS,fame,now,WS,MP
Alex Abrines,86.0,40.0,37.0,8.0,406.0,0,1,2.1,1055.0
Ron Baker,98.0,107.0,34.0,8.0,215.0,0,1,-0.1,857.0
Malik Beasley,17.0,11.0,7.0,0.0,83.0,0,1,0.2,165.0
DeAndre' Bembry,59.0,28.0,8.0,5.0,101.0,0,1,0.3,371.0
Dragan Bender,103.0,23.0,10.0,22.0,146.0,0,1,-0.3,574.0
Davis Bertans,99.0,46.0,20.0,28.0,303.0,0,1,2.3,808.0
Joel Bolomboy,17.0,2.0,1.0,2.0,22.0,0,1,0.2,53.0
Malcolm Brogdon,213.0,317.0,84.0,12.0,767.0,0,1,4.1,1982.0
Jaylen Brown,220.0,64.0,35.0,18.0,515.0,0,1,1.5,1341.0
Nicolas Brussino,95.0,47.0,17.0,8.0,150.0,0,1,0.6,521.0
Marquese Chriss,348.0,60.0,67.0,70.0,753.0,0,1,1.8,1743.0
Quinn Cook,14.0,52.0,8.0,0.0,158.0,0,1,0.133333333333,376.0
Deyonta Davis,60.0,2.0,3.0,17.0,58.0,0,1,0.5,238.0
Malcolm Delaney,124.0,193.0,39.0,1.0,391.0,0,1,0.1,1248.0
Cheick Diallo,73.0,4.0,4.0,7.0,87.0,0,1,0.5,199.0
Kris Dunn,166.0,188.0,78.0,36.0,293.0,0,1,0.1,1333.0
Henry Ellenson,41.0,7.0,1.0,1.0,60.0,0,1,-0.2,146.0
Joel Embiid,243.0,66.0,27.0,76.0,627.0,0,1,1.9,786.0
Kay Felder,41.0,58.0,18.0,7.0,166.0,0,1,0.0,386.0
Yogi Ferrell,222.0,344.0,84.0,18.0,924.0,0,1,1.2,2394.0
Dorian Finney-Smith,221.0,67.0,52.0,25.0,350.0,0,1,1.4,1642.0
Bryn Forbes,23.0,23.0,1.0,0.0,94.0,0,1,0.1,285.0
Marcus Georges-Hunt,9.0,3.0,1.0,0.0,14.0,0,1,0.1,48.0
Treveon Graham,22.0,6.0,6.0,1.0,57.0,0,1,0.4,189.0
Andrew Harrison,136.0,198.0,54.0,20.0,425.0,0,1,1.6,1474.0
Juan Hernangomez,187.0,29.0,29.0,12.0,305.0,0,1,1.8,842.0
Willy Hernangomez,502.0,96.0,41.0,36.0,587.0,0,1,3.4,1324.0
Buddy Hield,538.0,242.0,76.0,18.0,1732.0,0,1,0.866666666667,3776.0
Danuel House,1.0,0.0,0.0,0.0,0.0,0,1,0.0,1.0
Brandon Ingram,317.0,166.0,50.0,36.0,740.0,0,1,-0.3,2279.0
Demetrius Jackson,4.0,3.0,0.0,0.0,10.0,0,1,0.1,17.0
Brice Johnson,3.0,1.0,2.0,1.0,4.0,0,1,0.0,9.0
Damian Jones,23.0,0.0,1.0,4.0,19.0,0,1,0.0,85.0
Derrick Jones,79.0,12.0,14.0,13.0,168.0,0,1,1.1,545.0
Mindaugas Kuzminskas,126.0,69.0,29.0,11.0,425.0,0,1,1.2,1016.0
Skal Labissiere,162.0,27.0,16.0,13.0,289.0,0,1,1.3,612.0
Jake Layman,24.0,11.0,9.0,3.0,78.0,0,1,-0.3,249.0
Caris LeVert,188.0,110.0,49.0,8.0,468.0,0,1,1.8,1237.0
Timothe Luwawu-Cabarrot,149.0,75.0,32.0,10.0,445.0,0,1,0.8,1190.0
Thon Maker,114.0,23.0,10.0,26.0,226.0,0,1,1.3,562.0
Patrick McCaw,101.0,77.0,32.0,15.0,282.0,0,1,1.7,1074.0
Dejounte Murray,42.0,48.0,8.0,6.0,130.0,0,1,0.0,322.0
Jamal Murray,214.0,170.0,52.0,24.0,811.0,0,1,1.4,1764.0
David Nwaba,62.0,14.0,13.0,7.0,120.0,0,1,0.7,397.0
Georgios Papagiannis,86.0,20.0,3.0,17.0,124.0,0,1,0.4,355.0
Gary Payton,12.0,13.0,3.0,4.0,20.0,0,1,-0.2,99.0
Jakob Poeltl,165.0,12.0,17.0,20.0,165.0,0,1,1.6,626.0
Alex Poythress,29.0,5.0,3.0,2.0,64.0,0,1,0.3,157.0
Malachi Richardson,23.0,11.0,5.0,1.0,79.0,0,1,0.1,198.0
Domantas Sabonis,287.0,82.0,39.0,32.0,479.0,0,1,0.7,1632.0
Dario Saric,513.0,182.0,57.0,30.0,1040.0,0,1,1.0,2129.0
Tomas Satoransky,83.0,92.0,26.0,6.0,154.0,0,1,0.6,719.0
Wayne Selden,32.0,26.0,12.0,2.0,142.0,0,1,0.0666666666667,472.0
Pascal Siakam,185.0,17.0,26.0,45.0,229.0,0,1,1.6,859.0
Isaiah Taylor,3.0,3.0,1.0,1.0,3.0,0,1,0.0,52.0
Tyler Ulis,95.0,226.0,48.0,5.0,444.0,0,1,0.7,1123.0
Denzel Valentine,151.0,63.0,30.0,7.0,291.0,0,1,0.6,976.0
Fred VanVleet,42.0,35.0,17.0,2.0,107.0,0,1,0.3,294.0
Taurean Waller-Prince,157.0,55.0,43.0,27.0,335.0,0,1,1.1,981.0
Okaro White,82.0,21.0,10.0,10.0,98.0,0,1,0.6,471.0
Isaiah Whitehead,184.0,192.0,42.0,36.0,543.0,0,1,-0.8,1643.0
Troy Williams,138.0,50.0,54.0,20.0,370.0,0,1,0.2,1114.0
Paul Zipser,125.0,36.0,15.0,16.0,240.0,0,1,0.5,843.0
Ivica Zubac,159.0,30.0,14.0,33.0,284.0,0,1,1.1,609.0
