playername,TRB,AST,STL,BLK,PTS,fame,now,WS,MP
Jon Leuer,1334.0,290.0,130.0,95.0,2252.0,0,1,1.5375,5594.0
DeAndre Liggins,285.0,128.0,118.0,31.0,397.0,0,1,0.266666666667,1960.0
Shelvin Mack,795.0,1221.0,248.0,15.0,2685.0,0,1,0.854545454545,7255.0
E'Twaun Moore,667.0,648.0,229.0,95.0,2489.0,0,1,1.23333333333,7106.0
Marcus Morris,2044.0,709.0,346.0,124.0,5109.0,0,1,2.6125,12440.0
Markieff Morris,2862.0,883.0,485.0,306.0,6103.0,0,1,2.425,13430.0
Chandler Parsons,1805.0,1086.0,371.0,135.0,5086.0,0,1,4.66666666667,12005.0
Ricky Rubio,1498.0,2991.0,747.0,45.0,3653.0,0,1,3.88333333333,11217.0
Iman Shumpert,1500.0,839.0,514.0,106.0,3233.0,0,1,1.625,11006.0
Julyan Stone,48.0,51.0,12.0,6.0,61.0,0,1,0.233333333333,327.0
Isaiah Thomas,1293.0,2562.0,488.0,51.0,9538.0,0,1,6.4375,14940.0
Lance Thomas,911.0,258.0,138.0,42.0,1966.0,0,1,0.5,6579.0
Klay Thompson,1554.0,1045.0,422.0,251.0,8854.0,0,1,6.1,15182.0
Tristan Thompson,4027.0,385.0,240.0,364.0,4378.0,0,1,5.8,13381.0
Nikola Vucevic,3954.0,812.0,325.0,358.0,5807.0,0,1,4.68333333333,11912.0
Kemba Walker,1708.0,2381.0,606.0,175.0,8137.0,0,1,5.45,15008.0
Quincy Acy,1228.0,198.0,143.0,143.0,1607.0,0,1,1.13333333333,5315.0
Harrison Barnes,1819.0,564.0,285.0,78.0,4605.0,0,1,4.44,11425.0
Will Barton,1277.0,662.0,258.0,121.0,3253.0,0,1,1.47142857143,7305.0
Aron Baynes,1212.0,157.0,57.0,124.0,1544.0,0,1,2.34,4150.0
Kent Bazemore,1088.0,630.0,344.0,153.0,2992.0,0,1,1.18571428571,7459.0
Bradley Beal,1152.0,1003.0,334.0,97.0,5728.0,0,1,4.38,10774.0
Patrick Beverley,1186.0,980.0,366.0,118.0,2708.0,0,1,3.92,8290.0
Jae Crowder,1755.0,632.0,464.0,146.0,4041.0,0,1,3.64285714286,10544.0
Anthony Davis,3404.0,590.0,436.0,793.0,7497.0,0,1,9.74,11531.0
Andre Drummond,4946.0,276.0,476.0,580.0,5120.0,0,1,7.24,11439.0
Evan Fournier,824.0,691.0,255.0,16.0,3918.0,0,1,2.6,8392.0
Draymond Green,2684.0,1627.0,540.0,415.0,3566.0,0,1,6.58,10627.0
Maurice Harkless,1326.0,311.0,351.0,226.0,2646.0,0,1,2.52,8278.0
John Henson,1622.0,314.0,135.0,480.0,2418.0,0,1,2.76,5994.0
Justin Holiday,492.0,277.0,172.0,87.0,1403.0,0,1,0.833333333333,3984.0
Michael Kidd-Gilchrist,1805.0,369.0,211.0,227.0,2582.0,0,1,3.08,7668.0
Jeremy Lamb,830.0,316.0,148.0,87.0,2214.0,0,1,2.1,4688.0
Meyers Leonard,1166.0,246.0,49.0,103.0,1714.0,0,1,1.88,4963.0
Damian Lillard,1593.0,2446.0,368.0,110.0,8880.0,0,1,9.1,14399.0
Khris Middleton,1132.0,809.0,392.0,61.0,4070.0,0,1,3.6,9054.0
Darius Miller,131.0,89.0,42.0,21.0,320.0,0,1,0.4,1460.0
Kyle O'Quinn,1461.0,378.0,137.0,306.0,1760.0,0,1,2.2,4643.0
Miles Plumlee,1710.0,171.0,189.0,301.0,1787.0,0,1,1.35555555556,6245.0
Austin Rivers,833.0,900.0,263.0,65.0,3449.0,0,1,0.985714285714,9401.0
Terrence Ross,1221.0,450.0,390.0,157.0,4589.0,0,1,2.58571428571,11147.0
Mike Scott,836.0,257.0,88.0,32.0,1988.0,0,1,1.86,4322.0
Kyle Singler,1210.0,355.0,249.0,131.0,2783.0,0,1,1.72857142857,9478.0
Mirza Teletovic,1019.0,263.0,100.0,81.0,2565.0,0,1,1.7,5606.0
Jonas Valanciunas,3085.0,240.0,136.0,387.0,4160.0,0,1,6.72,9483.0
Dion Waiters,1084.0,1072.0,424.0,110.0,5378.0,0,1,1.21428571429,11780.0
Tyler Zeller,1487.0,316.0,88.0,203.0,2384.0,0,1,2.76,6048.0
Steven Adams,2003.0,257.0,208.0,310.0,2343.0,0,1,4.975,7371.0
Giannis Antetokounmpo,2193.0,1136.0,358.0,410.0,4737.0,0,1,6.725,10106.0
Vander Blue,12.0,9.0,3.0,0.0,27.0,0,1,-0.15,89.0
Lorenzo Brown,105.0,142.0,44.0,10.0,206.0,0,1,-0.0666666666667,834.0
Reggie Bullock,286.0,84.0,57.0,14.0,516.0,0,1,0.433333333333,1967.0
Trey Burke,571.0,972.0,153.0,32.0,2832.0,0,1,1.475,6619.0
Dwight Buycks,35.0,24.0,11.0,0.0,95.0,0,1,0.05,269.0
Kentavious Caldwell-Pope,941.0,495.0,367.0,59.0,3665.0,0,1,3.6,9488.0
Isaiah Canaan,421.0,392.0,144.0,23.0,1992.0,0,1,0.816666666667,4686.0
Michael Carter-Williams,1571.0,1719.0,470.0,167.0,4019.0,0,1,0.716666666667,9207.0
Ian Clark,241.0,193.0,82.0,29.0,945.0,0,1,0.583333333333,2271.0
Robert Covington,1176.0,304.0,331.0,140.0,2681.0,0,1,2.3,6012.0
Allen Crabbe,523.0,237.0,138.0,52.0,1878.0,0,1,2.45,5142.0
Troy Daniels,227.0,116.0,44.0,9.0,1187.0,0,1,0.428571428571,2528.0
Dewayne Dedmon,1272.0,76.0,89.0,201.0,1052.0,0,1,1.5,3660.0
Matthew Dellavedova,558.0,1085.0,154.0,16.0,1804.0,0,1,2.25,6504.0
Gorgui Dieng,2141.0,486.0,283.0,367.0,2639.0,0,1,4.675,7884.0
Rudy Gobert,2633.0,304.0,166.0,579.0,2484.0,0,1,7.6,7268.0
Shane Larkin,398.0,639.0,214.0,22.0,1168.0,0,1,1.0,4105.0
Alex Len,1657.0,177.0,113.0,283.0,1834.0,0,1,1.975,5261.0
C.J. McCollum,689.0,717.0,226.0,75.0,4128.0,0,1,3.9,7025.0
Ben McLemore,754.0,352.0,203.0,53.0,2742.0,0,1,1.0,7476.0
Shabazz Muhammad,694.0,137.0,72.0,21.0,2290.0,0,1,1.925,4354.0
Mike Muscala,528.0,161.0,62.0,97.0,903.0,0,1,1.775,2519.0
Victor Oladipo,1267.0,1080.0,443.0,131.0,4618.0,0,1,3.425,9661.0
Kelly Olynyk,1309.0,471.0,194.0,128.0,2628.0,0,1,3.675,5756.0
Mason Plumlee,2660.0,928.0,320.0,387.0,3670.0,0,1,4.6,9398.0
Otto Porter,1184.0,316.0,273.0,104.0,2469.0,0,1,4.425,6632.0
Andre Roberson,1002.0,211.0,219.0,160.0,1162.0,0,1,2.625,5614.0
Dennis Schroder,676.0,1258.0,210.0,29.0,3244.0,0,1,1.925,6263.0
Tony Snell,747.0,289.0,131.0,57.0,1802.0,0,1,1.95,6280.0
Jeff Withey,508.0,64.0,56.0,153.0,651.0,0,1,1.675,2033.0
Nate Wolters,217.0,229.0,51.0,19.0,501.0,0,1,0.225,1803.0
Cody Zeller,1575.0,362.0,193.0,211.0,2239.0,0,1,4.575,6402.0
Kyle Anderson,524.0,242.0,126.0,62.0,670.0,0,1,2.16666666667,2623.0
Tarik Black,1235.0,139.0,82.0,110.0,1274.0,0,1,1.86,3979.0
Bojan Bogdanovic,1022.0,389.0,131.0,28.0,3813.0,0,1,1.82,8135.0
Bruno Caboclo,14.0,5.0,4.0,3.0,27.0,0,1,-0.1,106.0
Clint Capela,1056.0,113.0,94.0,181.0,1392.0,0,1,3.46666666667,3112.0
Jordan Clarkson,750.0,611.0,227.0,27.0,3133.0,0,1,1.9,6425.0
Jack Cooley,25.0,1.0,6.0,3.0,27.0,0,1,0.2,87.0
Spencer Dinwiddie,229.0,311.0,66.0,29.0,635.0,0,1,1.0,1948.0
James Ennis,519.0,154.0,103.0,46.0,1059.0,0,1,1.15,3210.0
Tyler Ennis,237.0,413.0,113.0,15.0,904.0,0,1,0.1,2652.0
Tim Frazier,449.0,779.0,138.0,10.0,1100.0,0,1,0.585714285714,3485.0
Langston Galloway,790.0,543.0,221.0,46.0,2328.0,0,1,1.44,6480.0
Aaron Gordon,1081.0,311.0,144.0,117.0,1981.0,0,1,3.36666666667,4958.0
Jerami Grant,971.0,306.0,160.0,353.0,2034.0,0,1,1.68,6505.0
